Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
AIM/CGE;CPol;World;558,6841632;1648,744481;1397,714254;552,8689728;301,8387458;2.02%;0.68%;599,126609;211,3359169;0;150,5033858;0;19,32006987;73,53841606;343,8898565;0;251,030227;0;88,43127262;0;99,44128909;0;0;9,937727203;66,75761585;91,59804421;30,46157349;26,04215034;2,11463893;0;343,8898565;0
AIM/CGE;NDC;World;528,495789;1820,254669;1544,745877;716,4626994;440,9539072;2.24%;0.88%;571,6046096;183,1111357;0;228,1443247;0;23,04384925;103,6849431;432,3654389;2,791575427;275,5087922;0,501462087;65,3589657;1,4412533;99,00895295;0,312041467;0,01128306;11,75603182;95,83995301;101,6666064;51,82519611;72,28326078;2,10155145;0;432,3654389;0
AIM/CGE;2C;World;461,5507989;2125,759378;1758,339159;1082,152425;714,7322064;2.62%;1.34%;468,111115;162,3263116;0;383,5513885;0;29,05919131;108,1030542;603,628934;3,5591641;367,4202188;0,76913946;40,59358382;1,29246474;100,2581044;0,42082118;0;14,68011254;100,2213239;120,0698352;122,770215;138,080081;2,29503745;0;595,5231316;8,10580248
AIM/CGE;1.5C;World;446,1901822;2181,653344;1787,686666;1168,035119;774,0684415;2.70%;1.44%;434,3093644;159,0562098;0;411,8621659;0;30,08026838;108,0209057;638,4227968;5,93495478;393,966678;1,74672204;39,7202373;1,86227014;98,91092729;0,58932792;0;15,55314022;100,1409656;117,334878;139,2526423;152,6154522;2,318284757;0;630,0585926;8,36420412
AIM/CGE;CPol;CHN;122,9446786;247,3507922;247,3507922;90,3338925;90,3338925;2.11%;0.77%;80,15326035;24,79639399;0;52,8767889;0;0,464033053;8,957995987;80,10231991;0;0;0;22,6599752;0;1,32857488;0;0;0,134813363;8,957995987;16,12121729;20,27810095;16,47747067;0;0;80,10231991;0
AIM/CGE;NDC;CHN;130,9340207;281,1056124;286,9162516;90,48411737;96,29475651;2.40%;0.77%;107,8232077;29,02307754;0;57,61907279;0;0,518549727;5,97895654;85,95338727;0;-5,81063914;0;26,99666316;0;1,17978632;0;0;0,14027735;5,97895654;18,35819082;21,82604692;17,43483505;0;0;85,95338727;0
AIM/CGE;2C;CHN;94,2543938;477,5544646;439,307789;326,092873;287,8461973;4.15%;2.83%;53,0700104;18,84171378;0;154,2452203;0;0,919044007;10,73382789;201,2769421;0,22103058;38,24667563;0,1312009;17,26186074;0,00636982;0,94777704;0,01321792;0;0,30160989;10,73382789;23,67419331;60,76195937;69,80906761;0;0;193,9476489;7,32929316
AIM/CGE;1.5C;CHN;89,5065117;496,0875062;449,220171;358,1811593;311,3138241;4.32%;3.12%;41,26402368;18,84175002;0;162,4514036;0;1,011902793;10,73382789;214,5502483;0,36701468;46,86733521;0,23016138;17,2618245;0,00678288;0,947849507;0,01352228;0;0,32189331;10,73382789;18,71870524;67,50353337;76,22916499;0;0;207,0314259;7,51882248
AIM/CGE;CPol;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;NDC;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;2C;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;1.5C;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;CPol;IND;31,08246335;44,13860968;44,13860968;9,294560075;9,294560075;1.41%;0.30%;17,1298156;6,61087312;0;6,176587633;0;0,386772717;2,13517236;11,69938825;0;0;0;5,457573367;0;0,91298217;0;0;0,038874743;2,13517236;2,539268233;2,402233767;1,235085633;0;0;11,69938825;0
AIM/CGE;NDC;IND;30,39923775;51,10358052;52,25218783;11,01580272;12,16441003;1.64%;0.35%;20,76635236;6,057104593;0;7,846799367;0;0,391410583;3,894039813;13,29648111;0;-1,148607313;0;5,096848793;0;0,757048397;0;0;0,038700823;3,894039813;4,389835007;2,290120587;1,166843773;0;0;13,29648111;0
AIM/CGE;2C;IND;21,38348165;86,59451847;81,35584468;46,36402436;41,12535056;2.82%;1.51%;15,05542103;2,976981393;0;25,33433942;0;0,658022697;4,033603367;33,17875463;0,11872214;5,238673791;0,05791536;2,311498253;0,01539192;0,52403183;0,00743508;0;0,100913457;4,033603367;4,54309476;14,36967621;6,421568447;0;0;32,40224531;0,77650932
AIM/CGE;1.5C;IND;20,40999435;89,50856574;83,07344237;51,41239057;44,9772672;2.93%;1.68%;12,35176941;2,835925027;0;27,30069343;0;0,73188797;4,0326613;35,58584367;0,23466156;6,435123368;0,12976606;2,311643187;0,02023994;0,41152733;0,00980474;0;0,120109877;4,0326613;4,541971527;15,76442041;6,9943015;0;0;34,74046203;0,84538164
AIM/CGE;CPol;USA;104,4202867;194,4760944;194,4760944;37,77977105;37,77977105;0.98%;0.19%;41,44105613;52,82188453;0;13,79856279;0;7,491969957;17,07187172;61,85074929;0;0;0;18,03114875;0;28,95817277;0;0;3,085398773;17,01295223;8,641631883;1,213544917;3,49058527;0,43060418;0;61,85074929;0
AIM/CGE;NDC;USA;90,7995705;234,948505;226,5239861;90,36856974;81,94405084;1.19%;0.46%;23,01155086;37,81380597;0;40,12499986;0;9,738885917;25,70384855;89,66639811;0,46449684;8,424518896;0,08591648;8,801757853;0,22203062;24,24023044;0,0414147;0;4,379530247;25,63753633;8,80238469;6,52801111;24,34180334;0,43060418;0;89,66639811;0
AIM/CGE;2C;USA;90,8141601;225,9433792;217,1152837;87,43896138;78,61086584;1.14%;0.44%;23,70423799;33,44176878;0;37,92015805;0;11,2303876;25,70384855;84,55144714;0,56343558;8,828095535;0,12796164;2,134027387;0,21898702;26,74999749;0,05080638;0;4,606872673;25,63753633;8,636849083;5,88394187;22,94656638;0,43060418;0;84,55144714;0
AIM/CGE;1.5C;USA;88,1646877;235,3718885;223,5401639;96,98867557;85,15695096;1.19%;0.49%;21,40577649;33,58591222;0;41,50891754;0;10,98179795;25,70384855;89,39095955;0,96295156;11,8317246;0,2801199;2,134027387;0,33423076;26,97226725;0,07254638;0;4,88652154;25,63753633;8,630587963;6,73371499;25,69181386;0,43060418;0;89,39095955;0
AIM/CGE;CPol;R5OECD90+EU;215,5196811;432,5449425;432,5449425;121,2540752;121,2540752;0.89%;0.25%;55,93505978;117,7334338;0;52,45870696;0;13,31402529;35,49731127;157,6064055;0;0;0;38,86483352;0;64,46820906;0;0;7,90177258;35,32936964;37,93908997;5,578563713;7,21114713;1,442923657;0;157,6064055;0
AIM/CGE;NDC;R5OECD90+EU;188,3102662;555,5889386;534,7764305;253,2507832;232,4382752;1.15%;0.52%;30,67522334;92,22739909;0;112,8160994;0;16,47039792;54,58870568;225,2070297;2,791575427;20,81250803;0,501483827;15,6850368;1,4412533;65,85744579;0,312041467;0,01128306;9,44155156;54,3900016;41,46999931;19,82772786;49,80373482;1,446923817;0;225,2070297;0
AIM/CGE;2C;R5OECD90+EU;190,2288542;565,9583077;542,1966424;252,9093754;229,1477102;1.17%;0.52%;31,87651776;96,29177905;0;112,1265066;0;18,74136557;54,08861527;227,8979634;1,17389478;23,76166522;0,2828374;12,32864168;0,46756218;71,69638223;0,10333022;0;10,67251384;53,89274258;40,92307889;18,42625876;50,89838006;1,542565323;0;227,8979634;0
