model,scenario,region,variable,value
MESSAGEix-GLOBIOM,CPol,World,Coal|w/ CCS,0.0
MESSAGEix-GLOBIOM,CPol,World,Coal|w/o CCS,41.16713747
MESSAGEix-GLOBIOM,CPol,World,Gas|w/ CCS,0.0
MESSAGEix-GLOBIOM,CPol,World,Gas|w/o CCS,63.96328256
MESSAGEix-GLOBIOM,CPol,World,Oil|w/ CCS,0.0
MESSAGEix-GLOBIOM,CPol,World,Biomass|w/ CCS,0.0
MESSAGEix-GLOBIOM,CPol,World,Biomass|w/o CCS,7.375503472
MESSAGEix-GLOBIOM,CPol,World,Nuclear,13.06596336
MESSAGEix-GLOBIOM,CPol,World,Hydro,60.12008009
MESSAGEix-GLOBIOM,CPol,World,Solar,85.5198958
MESSAGEix-GLOBIOM,CPol,World,Wind,81.34528403
MESSAGEix-GLOBIOM,CPol,World,Geothermal,0.530835342
MESSAGEix-GLOBIOM,CPol,World,Ocean,0.0
MESSAGEix-GLOBIOM,CPol,World,Transmission and Distribution,360.8671671
MESSAGEix-GLOBIOM,CPol,World,Electricity Storage,0.0
MESSAGEix-GLOBIOM,NDC,World,Coal|w/ CCS,0.521055647
MESSAGEix-GLOBIOM,NDC,World,Coal|w/o CCS,38.34977145
MESSAGEix-GLOBIOM,NDC,World,Gas|w/ CCS,0.746784835
MESSAGEix-GLOBIOM,NDC,World,Gas|w/o CCS,64.03993413
MESSAGEix-GLOBIOM,NDC,World,Oil|w/ CCS,0.0
MESSAGEix-GLOBIOM,NDC,World,Biomass|w/ CCS,0.0
MESSAGEix-GLOBIOM,NDC,World,Biomass|w/o CCS,7.375503472
MESSAGEix-GLOBIOM,NDC,World,Nuclear,20.88991655
MESSAGEix-GLOBIOM,NDC,World,Hydro,62.84152427
MESSAGEix-GLOBIOM,NDC,World,Solar,97.34640997
MESSAGEix-GLOBIOM,NDC,World,Wind,85.49436655
MESSAGEix-GLOBIOM,NDC,World,Geothermal,0.589380321
MESSAGEix-GLOBIOM,NDC,World,Ocean,0.0
MESSAGEix-GLOBIOM,NDC,World,Transmission and Distribution,354.3561742
MESSAGEix-GLOBIOM,NDC,World,Electricity Storage,0.0
MESSAGEix-GLOBIOM,2C,World,Coal|w/ CCS,0.330180828
MESSAGEix-GLOBIOM,2C,World,Coal|w/o CCS,37.65987897
MESSAGEix-GLOBIOM,2C,World,Gas|w/ CCS,5.726322907
MESSAGEix-GLOBIOM,2C,World,Gas|w/o CCS,66.66049799
MESSAGEix-GLOBIOM,2C,World,Oil|w/ CCS,0.0
MESSAGEix-GLOBIOM,2C,World,Biomass|w/ CCS,0.0
MESSAGEix-GLOBIOM,2C,World,Biomass|w/o CCS,7.254781537
MESSAGEix-GLOBIOM,2C,World,Nuclear,33.83411164
MESSAGEix-GLOBIOM,2C,World,Hydro,74.34664
MESSAGEix-GLOBIOM,2C,World,Solar,100.6916201
MESSAGEix-GLOBIOM,2C,World,Wind,97.53413832
MESSAGEix-GLOBIOM,2C,World,Geothermal,0.530835342
MESSAGEix-GLOBIOM,2C,World,Ocean,0.0
MESSAGEix-GLOBIOM,2C,World,Transmission and Distribution,353.0815598
MESSAGEix-GLOBIOM,2C,World,Electricity Storage,0.0
MESSAGEix-GLOBIOM,1.5C,World,Coal|w/ CCS,2.27131334
MESSAGEix-GLOBIOM,1.5C,World,Coal|w/o CCS,42.04488157
MESSAGEix-GLOBIOM,1.5C,World,Gas|w/ CCS,12.55585084
MESSAGEix-GLOBIOM,1.5C,World,Gas|w/o CCS,63.61325365
MESSAGEix-GLOBIOM,1.5C,World,Oil|w/ CCS,0.0
MESSAGEix-GLOBIOM,1.5C,World,Biomass|w/ CCS,0.0
MESSAGEix-GLOBIOM,1.5C,World,Biomass|w/o CCS,8.644663855
MESSAGEix-GLOBIOM,1.5C,World,Nuclear,52.24408167
MESSAGEix-GLOBIOM,1.5C,World,Hydro,109.5599543
MESSAGEix-GLOBIOM,1.5C,World,Solar,146.0609855
MESSAGEix-GLOBIOM,1.5C,World,Wind,109.523168
MESSAGEix-GLOBIOM,1.5C,World,Geothermal,6.042129127
MESSAGEix-GLOBIOM,1.5C,World,Ocean,0.0
MESSAGEix-GLOBIOM,1.5C,World,Transmission and Distribution,379.5485414
MESSAGEix-GLOBIOM,1.5C,World,Electricity Storage,4.252288298
REMIND-MAgPIE,CPol,World,Coal|w/ CCS,0.009340953
REMIND-MAgPIE,CPol,World,Coal|w/o CCS,71.64340185
REMIND-MAgPIE,CPol,World,Gas|w/ CCS,0.00128266
REMIND-MAgPIE,CPol,World,Gas|w/o CCS,123.4335603
REMIND-MAgPIE,CPol,World,Oil|w/ CCS,0.0
REMIND-MAgPIE,CPol,World,Biomass|w/ CCS,0.005579933
REMIND-MAgPIE,CPol,World,Biomass|w/o CCS,3.054158393
REMIND-MAgPIE,CPol,World,Nuclear,92.01317313
REMIND-MAgPIE,CPol,World,Hydro,147.9253661
REMIND-MAgPIE,CPol,World,Solar,184.9835367
REMIND-MAgPIE,CPol,World,Wind,124.5295462
REMIND-MAgPIE,CPol,World,Geothermal,0.0
REMIND-MAgPIE,CPol,World,Ocean,0.0
REMIND-MAgPIE,CPol,World,Transmission and Distribution,450.5124763
REMIND-MAgPIE,CPol,World,Electricity Storage,15.41530499
REMIND-MAgPIE,NDC,World,Coal|w/ CCS,0.47138842
REMIND-MAgPIE,NDC,World,Coal|w/o CCS,47.56122846
REMIND-MAgPIE,NDC,World,Gas|w/ CCS,0.00128266
REMIND-MAgPIE,NDC,World,Gas|w/o CCS,120.054186
REMIND-MAgPIE,NDC,World,Oil|w/ CCS,0.0
REMIND-MAgPIE,NDC,World,Biomass|w/ CCS,0.005579933
REMIND-MAgPIE,NDC,World,Biomass|w/o CCS,3.054701893
REMIND-MAgPIE,NDC,World,Nuclear,109.5916371
REMIND-MAgPIE,NDC,World,Hydro,162.663115
REMIND-MAgPIE,NDC,World,Solar,227.7862633
REMIND-MAgPIE,NDC,World,Wind,147.7851865
REMIND-MAgPIE,NDC,World,Geothermal,0.0
REMIND-MAgPIE,NDC,World,Ocean,0.0
REMIND-MAgPIE,NDC,World,Transmission and Distribution,449.2209681
REMIND-MAgPIE,NDC,World,Electricity Storage,24.23151995
REMIND-MAgPIE,2C,World,Coal|w/ CCS,4.7839957
REMIND-MAgPIE,2C,World,Coal|w/o CCS,30.87905395
REMIND-MAgPIE,2C,World,Gas|w/ CCS,3.5064446
REMIND-MAgPIE,2C,World,Gas|w/o CCS,90.24892865
REMIND-MAgPIE,2C,World,Oil|w/ CCS,0.0
REMIND-MAgPIE,2C,World,Biomass|w/ CCS,0.178369453
REMIND-MAgPIE,2C,World,Biomass|w/o CCS,2.977822007
REMIND-MAgPIE,2C,World,Nuclear,130.5679182
REMIND-MAgPIE,2C,World,Hydro,204.6968542
REMIND-MAgPIE,2C,World,Solar,396.1038218
REMIND-MAgPIE,2C,World,Wind,213.1953463
REMIND-MAgPIE,2C,World,Geothermal,0.0
REMIND-MAgPIE,2C,World,Ocean,0.0
REMIND-MAgPIE,2C,World,Transmission and Distribution,443.8999075
REMIND-MAgPIE,2C,World,Electricity Storage,69.75840617
REMIND-MAgPIE,1.5C,World,Coal|w/ CCS,1.705517493
REMIND-MAgPIE,1.5C,World,Coal|w/o CCS,30.87905395
REMIND-MAgPIE,1.5C,World,Gas|w/ CCS,1.8669225
REMIND-MAgPIE,1.5C,World,Gas|w/o CCS,74.65142797
REMIND-MAgPIE,1.5C,World,Oil|w/ CCS,0.0
REMIND-MAgPIE,1.5C,World,Biomass|w/ CCS,5.303857073
REMIND-MAgPIE,1.5C,World,Biomass|w/o CCS,2.97757562
REMIND-MAgPIE,1.5C,World,Nuclear,135.7141965
REMIND-MAgPIE,1.5C,World,Hydro,220.8311807
REMIND-MAgPIE,1.5C,World,Solar,503.6846248
REMIND-MAgPIE,1.5C,World,Wind,237.0740116
REMIND-MAgPIE,1.5C,World,Geothermal,0.0
REMIND-MAgPIE,1.5C,World,Ocean,0.0
REMIND-MAgPIE,1.5C,World,Transmission and Distribution,444.4049784
REMIND-MAgPIE,1.5C,World,Electricity Storage,89.04194559
