,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
100,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2020,598955.676833503,72314.1471206809,174762.25746353,58.3237841171,7.0416474347,17.0176134401,70.79585869,8.5474474,20.65669391,Aggregate
101,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2030,786356.859698328,90794.9047344227,216877.542869426,57.9482473187,6.6908624627,15.982150263,71.87712929,8.29912911,19.8237416,Aggregate
102,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2040,946375.893136643,103568.15342658,292597.794074397,57.8685685177,6.3329389794,17.8916386367,70.49135189,7.71433339,21.79431473,Aggregate
103,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2050,1130773.5047962,113261.112748724,337695.549037284,60.8764884718,6.0975418997,18.1802271726,71.48965915,7.16058372,21.34975713,Aggregate
104,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2060,1541163.40797724,140817.638944837,421577.427503355,67.4623276812,6.1641002197,18.453977307,73.26458602,6.69425836,20.04115562,Aggregate
105,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2070,1909823.44264434,164551.514387072,457896.189684261,77.5494376314,6.6817052913,18.5931281451,75.41938963,6.4981791,18.08243127,Aggregate
106,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2080,2276537.64320602,191931.657532689,537520.113967753,83.107226743,7.0066523298,19.6226959496,75.73338855,6.3849745,17.88163695,Aggregate
107,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2090,2612084.12314549,215766.657403989,580032.958412326,85.4178044826,7.0557888977,18.9676670043,76.64827568,6.33139725,17.02032707,Aggregate
108,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2100,3091748.40290213,250782.418431254,738250.923752811,87.587183911,7.1044997659,20.9141595644,75.7636305,6.14545041,18.09091909,Aggregate
109,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2110,3471996.0062408,303380.091907624,844933.553943742,88.3475222485,7.719732215,21.4999630822,75.14639208,6.56622856,18.28737937,Aggregate
