,model,scenario,region,variable,value,ref
48,REMIND-MAgPIE,CPol,World,Coal|w/ CCS,0.00293,0.00293
49,REMIND-MAgPIE,CPol,World,Coal|w/o CCS ,69.67114,69.67114
50,REMIND-MAgPIE,CPol,World,Gas|w/ CCS,0.00038,0.00038
51,REMIND-MAgPIE,CPol,World,Gas|w/o CCS,114.22982,114.22982
52,REMIND-MAgPIE,CPol,World,Biomass|w/ CCS,0.00458,0.00458
53,REMIND-MAgPIE,CPol,World,Biomass|w/o CCS,1.6726,1.6726
54,REMIND-MAgPIE,CPol,World,Nuclear,82.94713,82.94713
55,REMIND-MAgPIE,CPol,World,Hydro,126.18363,126.18363
56,REMIND-MAgPIE,CPol,World,Solar,184.2525,184.2525
57,REMIND-MAgPIE,CPol,World,Wind,118.90163,118.90163
58,REMIND-MAgPIE,CPol,World,Transmission and Distribution,422.84118,422.84118
59,REMIND-MAgPIE,CPol,World,Electricity Storage,17.20964,17.20964
60,REMIND-MAgPIE,NDC,World,Coal|w/ CCS,0.64053,0.00293
61,REMIND-MAgPIE,NDC,World,Coal|w/o CCS ,36.43907,69.67114
62,REMIND-MAgPIE,NDC,World,Gas|w/ CCS,0.00038,0.00038
63,REMIND-MAgPIE,NDC,World,Gas|w/o CCS,109.56647,114.22982
64,REMIND-MAgPIE,NDC,World,Biomass|w/ CCS,0.00458,0.00458
65,REMIND-MAgPIE,NDC,World,Biomass|w/o CCS,1.67335,1.6726
66,REMIND-MAgPIE,NDC,World,Nuclear,107.20444,82.94713
67,REMIND-MAgPIE,NDC,World,Hydro,146.52091,126.18363
68,REMIND-MAgPIE,NDC,World,Solar,243.3179,184.2525
69,REMIND-MAgPIE,NDC,World,Wind,150.99313,118.90163
70,REMIND-MAgPIE,NDC,World,Transmission and Distribution,421.05897,422.84118
71,REMIND-MAgPIE,NDC,World,Electricity Storage,29.37553,17.20964
72,REMIND-MAgPIE,2C,World,Coal|w/ CCS,6.59169,0.00293
73,REMIND-MAgPIE,2C,World,Coal|w/o CCS ,13.41859,69.67114
74,REMIND-MAgPIE,2C,World,Gas|w/ CCS,4.83731,0.00038
75,REMIND-MAgPIE,2C,World,Gas|w/o CCS,68.43686,114.22982
76,REMIND-MAgPIE,2C,World,Biomass|w/ CCS,0.24302,0.00458
77,REMIND-MAgPIE,2C,World,Biomass|w/o CCS,1.56726,1.6726
78,REMIND-MAgPIE,2C,World,Nuclear,136.15055,82.94713
79,REMIND-MAgPIE,2C,World,Hydro,204.52515,126.18363
80,REMIND-MAgPIE,2C,World,Solar,475.58684,184.2525
81,REMIND-MAgPIE,2C,World,Wind,241.25554,118.90163
82,REMIND-MAgPIE,2C,World,Transmission and Distribution,413.7162,422.84118
83,REMIND-MAgPIE,2C,World,Electricity Storage,92.20012,17.20964
84,REMIND-MAgPIE,1.5C,World,Coal|w/ CCS,2.34356,0.00293
85,REMIND-MAgPIE,1.5C,World,Coal|w/o CCS ,13.41859,69.67114
86,REMIND-MAgPIE,1.5C,World,Gas|w/ CCS,2.57486,0.00038
87,REMIND-MAgPIE,1.5C,World,Gas|w/o CCS,46.91317,114.22982
88,REMIND-MAgPIE,1.5C,World,Biomass|w/ CCS,7.31591,0.00458
89,REMIND-MAgPIE,1.5C,World,Biomass|w/o CCS,1.56692,1.6726
90,REMIND-MAgPIE,1.5C,World,Nuclear,143.25213,82.94713
91,REMIND-MAgPIE,1.5C,World,Hydro,226.78963,126.18363
92,REMIND-MAgPIE,1.5C,World,Solar,624.04241,184.2525
93,REMIND-MAgPIE,1.5C,World,Wind,274.20678,118.90163
94,REMIND-MAgPIE,1.5C,World,Transmission and Distribution,414.41317,422.84118
95,REMIND-MAgPIE,1.5C,World,Electricity Storage,118.81034,17.20964
