,Model,Scenario,Region,Variable,Unit,Year,Value
6,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2020,27.42234573
7,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2020,16.52101202
8,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2020,1.319853123
9,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2020,0.2121587572
10,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2020,0.8904832485999999
11,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2020,8.478838583
12,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2030,28.49526278
13,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2030,21.04519379
14,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2030,0.7866691404
15,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2030,0.06469673621000001
16,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2030,0.8877206348000001
17,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2030,5.710982479
18,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2040,23.23201614
19,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2040,20.8754392
20,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2040,0.7184852981000001
21,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2040,0.02350951681
22,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2040,0.4830988252
23,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2040,1.131483299
24,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2050,22.80660113
25,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2050,20.53245666
26,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2050,1.817922464
27,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2050,0.009731161812
28,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2050,0.1051545173
29,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2050,0.3413363278
30,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2060,30.42561704
31,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2060,25.05312284
32,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2060,4.602319136
33,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2060,0.0024098099650000002
34,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2060,0.1411386088
35,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2060,0.6266266442
36,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2070,40.76884499
37,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Coal,EJ/yr,2070,33.22525709
38,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Coal,EJ/yr,2070,6.023022407000001
39,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Coal,EJ/yr,2070,0.0
40,MESSAGEix-GLOBIOM_1.0,NPi_v3,Central Asia,Coal,EJ/yr,2070,0.1559062307
41,MESSAGEix-GLOBIOM_1.0,NPi_v3,OECD90 + EU,Coal,EJ/yr,2070,1.36465926
42,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Coal,EJ/yr,2080,46.97767694
