,Model,Scenario,Region,Variable,Unit,Year,Value_total,Value,OMCOST,FUELCOST,CAPCOST,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,FUELCOST_MWh,CAPCOST_MWh,CostTotal_MWh,CostTotal,CostTotal_MWh_diff,CostTotal_diff,Value_diff,Revenue,Revenue_diff,Revenue_var,OMCOST_p,FUELCOST_p,CAPCOST_p
0,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2020,97.8419607393,60.682840123,83685.8586832117,366908.729769015,734096.398447666,7.06%,30.97%,61.97%,4.857032566,21.2949676001,42.606124499,68.7581246651,1184690.98689989,0,0,0,1602.6043818898,0,981.3543566212,7.06393985,30.97083829,61.96522187
1,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2030,118.2439754393,73.5282814131,90199.1177823779,447135.798060407,811804.510227569,6.69%,33.14%,60.17%,4.2931423163,21.2819999017,38.6388734291,64.2140156471,1349139.42607035,0,0,0,1312.3553654381,0,798.0994502629,6.685678,33.14229719,60.17202481
2,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2040,138.946457193,87.2741166875,93246.763493147,595848.521758776,848829.94145571,6.06%,38.74%,55.19%,3.765802168,24.063544631,34.2802850631,62.1096318621,1537925.22670763,0,0,0,1732.4304665421,0,1025.7191979359,6.06315326,38.74366006,55.19318669
3,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2050,163.6718609644,106.8539121988,100980.803966782,789113.103370597,941646.137378023,5.51%,43.08%,51.41%,3.428097857,26.7888235421,31.9670172825,62.1839386816,1831740.0447154,0,0,0,2123.476596554,0,1129.126505387,5.51283487,43.07997227,51.40719285
4,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2060,208.2407803233,134.1442325472,136778.161772752,1079263.84079975,1275460.03166553,5.49%,43.32%,51.19%,3.7027295403,29.2168139515,34.5280523992,67.447595891,2491502.03423803,0,0,0,2681.3580477711,0,1481.0877137159,5.48978728,43.3177989,51.19241382
5,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2070,251.3711215584,154.2500243282,165505.083689991,1309216.10996145,1539629.2508718,5.49%,43.43%,51.08%,4.0461589936,32.0068509064,37.6398392205,73.6928491205,3014350.44452324,0,0,0,3076.0082938244,0,1936.7601521396,5.49057207,43.43277711,51.07665081
6,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2080,286.2397267303,164.48166474,188750.270230525,1540320.95506368,1763041.66700986,5.41%,44.11%,50.49%,4.3594525351,35.5758753838,40.7199229717,80.6552508906,3492112.89230406,0,0,0,3550.1443882582,0,2628.0053839638,5.40504491,44.10856701,50.48638808
7,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2090,323.1393033462,179.12484575,225875.174791817,1686896.53613311,2103541.77258517,5.62%,42.00%,52.37%,4.8043589192,35.8802441507,44.7422771728,85.4268802427,4016313.4835101,0,0,0,3841.9893999153,0,3088.9183306897,5.62394285,42.00111727,52.37493989
8,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Fossil,EJ/yr,2100,365.153097522,192.54463078,268047.437594901,2122374.48326981,2508146.80323269,5.47%,43.33%,51.20%,5.0431022144,39.9308105776,47.1888140808,92.1627268728,4898568.7240974,0,0,0,4471.067638591,0,4008.1311365091,5.47195421,43.32642049,51.2016253
9,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Low-carbon,EJ/yr,2020,97.8419607393,37.1591206163,91794.3284831773,43077.2655677254,882463.144219868,9.02%,4.23%,86.74%,11.2956032681,5.3008035438,108.5900811142,125.1864879261,1017334.73827077,0,0,0,981.3543566212,0,1602.6043818898,9.02302114,4.23432563,86.74265323
10,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Low-carbon,EJ/yr,2030,118.2439754393,44.7156940262,109231.486349197,13198.3785077653,1079603.67486631,9.09%,1.10%,89.81%,10.5311270355,1.2724701034,104.085770761,115.8893678999,1202033.53972327,0,0,0,798.0994502629,0,1312.3553654381,9.0872245,1.09800418,89.81477132
11,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Low-carbon,EJ/yr,2040,138.946457193,51.6723405055,127573.869017198,10427.6906464155,1292985.18211964,8.92%,0.73%,90.36%,9.911756036,0.810171601,100.4575136125,111.1794412495,1430986.74178325,0,0,0,1025.7191979359,0,1732.4304665421,8.9150979,0.72870631,90.35619579
12,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Low-carbon,EJ/yr,2050,163.6718609644,56.8179487656,144702.350063122,10638.8395012684,1495788.47084555,8.76%,0.64%,90.59%,9.2825604236,0.6824745449,95.9538449478,105.9188799163,1651129.66040994,0,0,0,1129.126505387,0,2123.476596554,8.7638393,0.64433701,90.59182369
