,Model,Scenario,Region,Variable,Unit,Year,Value,Unit for Costs,Indirect Emission Costs,Indirect Emission Costs baseline,Indirect Emission Costs diff,Value_diff
0,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2020,31.7173,Million US$,216505.6992,216505.6992,0.0,0.0
1,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2020,29.5222,Million US$,329438.81341,329438.81341,0.0,0.0
2,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2020,1.4963,Million US$,0.0,0.0,0.0,0.0
3,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2030,35.3662,Million US$,248669.29802,248669.29802,0.0,0.0
4,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2030,43.6159,Million US$,466528.25184,466528.25184,0.0,0.0
5,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2030,0.3569,Million US$,0.0,0.0,0.0,0.0
6,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2040,38.5802,Million US$,292639.59543000004,292639.59543000004,0.0,0.0
7,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2040,49.7149,Million US$,612527.9846399999,612527.9846399999,0.0,0.0
8,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2040,0.0001,Million US$,0.0,0.0,0.0,0.0
9,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2050,32.4084,Million US$,273379.11344,273379.11344,0.0,0.0
10,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2050,45.2786,Million US$,617602.5424800001,617602.5424800001,0.0,0.0
11,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2050,0.0001,Million US$,0.0,0.0,0.0,0.0
12,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2060,22.2308,Million US$,215705.97774,215705.97774,0.0,0.0
13,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2060,33.399,Million US$,544386.2034,544386.2034,0.0,0.0
14,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2060,0.0001,Million US$,0.0,0.0,0.0,0.0
15,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2070,9.2461,Million US$,101958.56142,101958.56142,0.0,0.0
16,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2070,21.108,Million US$,416839.31401,416839.31401,0.0,0.0
17,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2070,0.0001,Million US$,0.0,0.0,0.0,0.0
18,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2080,3.7401,Million US$,45293.28984,45293.28984,0.0,0.0
19,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2080,14.6775,Million US$,369097.35735,369097.35735,0.0,0.0
20,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2080,0.0001,Million US$,0.0,0.0,0.0,0.0
21,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2090,0.1856,Million US$,2207.15025,2207.15025,0.0,0.0
22,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2090,11.0074,Million US$,339163.04312,339163.04312,0.0,0.0
23,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2090,0.0001,Million US$,0.0,0.0,0.0,0.0
24,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Coal,EJ/yr,2100,0.0096,Million US$,116.80111000000001,116.80111000000001,0.0,0.0
25,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Gas,EJ/yr,2100,11.3433,Million US$,396127.4526,396127.4526,0.0,0.0
26,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Oil,EJ/yr,2100,0.0001,Million US$,0.0,0.0,0.0,0.0
27,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2020,31.7173,Million US$,216505.6992,216505.6992,0.0,0.0
28,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2020,29.5222,Million US$,329438.81341,329438.81341,0.0,0.0
29,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2020,1.4963,Million US$,0.0,0.0,0.0,0.0
30,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2030,10.6541,Million US$,59813.088639999994,248669.29802,-188856.20938,-24.7121
31,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2030,33.8557,Million US$,394314.06144,466528.25184,-72214.1904000001,-9.760200000000005
32,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2030,0.3569,Million US$,0.0,0.0,0.0,0.0
33,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2040,1.4173,Million US$,6012.02304,292639.59543000004,-286627.57239,-37.1629
34,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2040,17.9974,Million US$,234717.62925,612527.9846399999,-377810.35539,-31.7175
35,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2040,0.0001,Million US$,0.0,0.0,0.0,0.0
36,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2050,1.9177,Million US$,10508.17222,273379.11344,-262870.94122,-30.4907
37,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2050,7.7781,Million US$,124288.11153,617602.5424800001,-493314.43095,-37.500499999999995
38,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2050,0.0001,Million US$,0.0,0.0,0.0,0.0
39,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2060,1.8398,Million US$,11062.75218,215705.97774,-204643.22556,-20.391
40,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2060,5.3469,Million US$,93128.4562,544386.2034,-451257.7472,-28.052100000000003
41,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2060,0.0001,Million US$,0.0,0.0,0.0,0.0
42,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2070,1.4458,Million US$,9007.5885,101958.56142,-92950.97292,-7.8003
43,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2070,3.4168,Million US$,62790.08602,416839.31401,-354049.22799,-17.691200000000002
44,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2070,0.0001,Million US$,0.0,0.0,0.0,0.0
45,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2080,0.7236,Million US$,4645.94624,45293.28984,-40647.3436,-3.0164999999999997
46,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2080,1.1679,Million US$,22497.39576,369097.35735,-346599.96159,-13.5096
47,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2080,0.0001,Million US$,0.0,0.0,0.0,0.0
48,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2090,0.1479,Million US$,951.25239,2207.15025,-1255.89786,-0.037699999999999984
49,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2090,0.0641,Million US$,1171.8617,339163.04312,-337991.18142,-10.9433
50,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2090,0.0001,Million US$,0.0,0.0,0.0,0.0
51,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2100,0.0141,Million US$,93.65784000000001,116.80111000000001,-23.14327,0.0045000000000000005
52,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2100,0.0009,Million US$,15.7971,396127.4526,-396111.6555,-11.3424
53,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2100,0.0001,Million US$,0.0,0.0,0.0,0.0
