,Model,Scenario,Region,Variable,Unit,Year,Value,Unit for Costs,Indirect Emission Costs,Indirect Emission Costs baseline,Indirect Emission Costs diff,Value_diff
0,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2020,27.42234573,Million US$,216505.6992,216505.6992,0,0
1,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2020,32.12260647,Million US$,329438.81341,329438.81341,0,0
2,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2020,1.137887923,Million US$,0,0,0,0
3,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2030,28.49526278,Million US$,248669.29802,248669.29802,0,0
4,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2030,44.38095406,Million US$,466528.25184,466528.25184,0,0
5,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2030,0.6520645731,Million US$,0,0,0,0
6,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2040,23.23201614,Million US$,292639.59543,292639.59543,0,0
7,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2040,63.75898673,Million US$,612527.98464,612527.98464,0,0
8,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2040,0.2831138175,Million US$,0,0,0,0
9,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2050,22.80660113,Million US$,273379.11344,273379.11344,0,0
10,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2050,83.9498043,Million US$,617602.54248,617602.54248,0,0
11,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2050,0.0975067688,Million US$,0,0,0,0
12,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2060,30.42561704,Million US$,215705.97774,215705.97774,0,0
13,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2060,103.6934228,Million US$,544386.2034,544386.2034,0,0
14,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2060,0.0251927072,Million US$,0,0,0,0
15,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2070,40.76884499,Million US$,101958.56142,101958.56142,0,0
16,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2070,113.481155,Million US$,416839.31401,416839.31401,0,0
17,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2070,2.433818195e-05,Million US$,0,0,0,0
18,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2080,46.97767694,Million US$,45293.28984,45293.28984,0,0
19,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2080,117.5039878,Million US$,369097.35735,369097.35735,0,0
20,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2080,0,Million US$,0,0,0,0
21,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2090,57.13726145,Million US$,2207.15025,2207.15025,0,0
22,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2090,121.9875843,Million US$,339163.04312,339163.04312,0,0
23,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2090,0,Million US$,0,0,0,0
24,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Coal,EJ/yr,2100,61.75265978,Million US$,116.80111,116.80111,0,0
25,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Gas,EJ/yr,2100,130.791971,Million US$,396127.4526,396127.4526,0,0
26,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Oil,EJ/yr,2100,0,Million US$,0,0,0,0
27,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Coal,EJ/yr,2020,27.42234573,Million US$,216505.6992,216505.6992,0,0
28,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Gas,EJ/yr,2020,32.12260647,Million US$,329438.81341,329438.81341,0,0
29,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Oil,EJ/yr,2020,1.137887923,Million US$,0,0,0,0
30,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Coal,EJ/yr,2030,8.889911624,Million US$,59813.08864,248669.29802,-188856.20938,-19.605351156
