,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,CostTotal_MWh,OMCOST,CAPCOST,FUELCOST,CostTotal
0,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2020,62.7358,2.7189882383,60.1188537873,37.1621579744,0.4425990237,6.049285026,9.7861938548,16.2780779045,59192.2144440285,809017.999049456,1308783.92018075,2176994.13367423
1,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2030,79.339,1.9736398986,70.2463162198,27.7800438815,0.3214946402,4.525210105,11.4427227455,16.2894274907,35653.9605308087,501848.685149713,1269005.24642431,1806507.89210483
2,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2040,88.2952,1.8156341461,73.5369601054,24.6474057485,0.3210543877,4.3583437655,13.0033706134,17.6827687666,41574.0274210403,564371.365595133,1683834.59987235,2289779.99288852
3,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2050,77.6871,1.8681121603,71.8961758126,26.2357120271,0.3739992133,5.2524339103,14.3937359684,20.020169092,79671.5350050033,1118904.68544511,3066239.17426713,4264815.39471724
4,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2060,55.6299,1.851222879,72.1129063091,26.0358708119,0.4013717166,5.6449508485,15.6351141314,21.6814366965,90513.8333341352,1272999.86302778,3525893.96825027,4889407.66461219
5,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2070,30.3542,1.82148416,72.1741154511,26.0044003888,0.4326220846,6.1763248622,17.142128909,23.7510758558,82312.2066417407,1175129.39467444,3261522.02446496,4518963.62578114
6,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2080,18.4177,1.77913497,72.9040845705,25.3167804595,0.4657400068,6.6273991028,19.0847515325,26.1778906421,114969.322997131,1635993.42321088,4711128.37878656,6462091.12499457
7,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2090,11.1931,1.9090233723,71.6002547622,26.4907218655,0.5055576569,7.0154129431,18.9615578066,26.4825284066,146343.106770816,2030742.31288553,5488777.07816061,7665862.49781696
8,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2100,11.353,1.8134772387,73.2984425736,24.8880801877,0.526267696,7.2224742271,21.2710706645,29.0198125876,121007.690048478,1660704.10422995,4890976.86512706,6672688.65940549
9,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2020,27.9422,3.5473359899,11.9452336502,84.5074303599,0.8340461842,19.8693047477,2.8085517057,23.5119026376,49709.7733644986,1184225.35184548,167391.77208482,1401326.8972948
10,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2030,48.2716,4.9355969876,0,95.0644030124,0.8688723425,16.7353272043,0,17.6041995468,33982.780835861,654541.442699004,0,688524.223534865
11,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2040,81.3102,4.1738063555,1.032340038,94.7938536065,0.8135353739,18.4766964647,0.2012180411,19.4914498797,40412.0003432599,917821.508288587,9995.4148362632,968228.92346811
