,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,CostTotal
0,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2020,60.68284012300001,2.7189882382999997,60.1188537873,37.1621579744,0.4425990237,6.0492850260000015,9.7861938548,16.2780779045
1,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2030,73.5282814131,1.9736398986,70.2463162198,27.7800438815,0.3214946402,4.525210105,11.4427227455,16.2894274907
2,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2040,87.27411668749998,1.8156341461,73.5369601054,24.6474057485,0.3210543877,4.3583437655,13.0033706134,17.6827687666
3,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2050,106.85391219882,1.8681121603,71.8961758126,26.2357120271,0.3739992133,5.2524339103,14.3937359684,20.020169092
4,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2060,134.14423254723,1.851222879,72.1129063091,26.0358708119,0.4013717166,5.6449508485000015,15.635114131400002,21.681436696500004
5,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2070,154.25002432818198,1.82148416,72.1741154511,26.0044003888,0.4326220846,6.1763248622,17.142128909,23.7510758558
6,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2080,164.48166474,1.77913497,72.9040845705,25.3167804595,0.4657400068,6.6273991028,19.0847515325,26.1778906421
7,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2090,179.12484575,1.9090233722999999,71.60025476220001,26.490721865500003,0.5055576569,7.015412943099999,18.961557806600002,26.4825284066
8,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2100,192.54463078,1.8134772387,73.2984425736,24.888080187699998,0.526267696,7.2224742271,21.2710706645,29.0198125876
9,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2020,26.4810758263,3.5473359899,11.9452336502,84.5074303599,0.8340461842,19.8693047477,2.8085517057,23.5119026376
10,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2030,33.4573297262,4.9355969876,0.0,95.06440301239999,0.8688723425,16.7353272043,0.0,17.6041995468
11,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2040,42.740929213470004,4.1738063555,1.032340038,94.7938536065,0.8135353739,18.4766964647,0.2012180411,19.4914498797
12,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2050,52.64994498859002,4.1185814643,0.954605941,94.9268125947,0.6828022072,15.7375148994,0.1582600828,16.5785771894
13,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2060,71.70330459006,3.6008375570999998,0.5522670104999999,95.8468954324,0.6702662057,17.8411088832,0.102799948,18.6141750369
14,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2070,94.18745511121,3.3761557089,0.7887066881,95.83513760299999,0.6909847158,19.6142065193,0.1614215438,20.4666127789
15,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2080,116.14913027528,3.4565095444,0.4901538482,96.0533366075,0.6727832923,18.6960513816,0.0954047184,19.4642393923
16,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2090,134.72717407122,2.8624340438,0.5189227117,96.6186432445,0.5712007727,19.2803197678,0.1035514004,19.955071940899998
17,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Renewables,EJ/yr,2100,154.18839681202004,2.6271654838,0.7568979070999999,96.6159366091,0.542543136,19.9524215595,0.1563090588,20.6512737543
18,REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2020,24.1100221288,3.4113351449000002,55.3510830222,41.2375818329,0.5228055363,6.3198821488,8.4828524361,15.3255401212
19,REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2030,31.69774644,2.0987033613,68.5574974224,29.34379921630001,0.3871548907,5.413149655700001,12.647032882000001,18.4473374284
